,training_iteration,ep_rew,algo
0,1,,acktr
1,2,60.39850441666667,acktr
2,3,62.43145096,acktr
3,4,61.79699308108107,acktr
4,5,62.30487464,acktr
5,6,62.5892258,acktr
6,7,62.277091615384606,acktr
7,8,61.954454175824175,acktr
8,9,61.68614347000001,acktr
9,10,62.15718082,acktr
10,11,62.53124799,acktr
11,12,62.48602456,acktr
12,13,61.62033365999999,acktr
13,14,61.17227634,acktr
14,15,61.77001536,acktr
15,16,61.31421443999999,acktr
16,17,61.67443623,acktr
17,18,61.25883753000001,acktr
18,19,61.25675218000002,acktr
19,20,61.70440361,acktr
20,21,62.1441169,acktr
21,22,62.40291128,acktr
22,23,63.25519763000001,acktr
23,24,63.32579438000001,acktr
24,25,63.27646244,acktr
25,26,63.65095367000002,acktr
26,27,63.65990897,acktr
27,28,63.61269811,acktr
28,29,63.21734852,acktr
29,30,63.28163634999999,acktr
0,1,,acktr
1,2,63.93351362500001,acktr
2,3,63.81428472916667,acktr
3,4,63.834592907894745,acktr
4,5,63.48832856000001,acktr
5,6,63.50762703,acktr
6,7,63.58620775999999,acktr
7,8,63.52548963,acktr
8,9,63.48097484,acktr
9,10,63.00105002000001,acktr
10,11,63.01100427,acktr
11,12,63.44507906999999,acktr
12,13,63.03839347999999,acktr
13,14,63.00905105,acktr
14,15,62.23114199999999,acktr
0,1,,acktr
1,2,,acktr
2,3,,acktr
3,4,64.155233,acktr
4,5,55.3095852,acktr
5,6,58.30632275,acktr
6,7,58.872313,acktr
7,8,58.872313,acktr
8,9,60.07155483333332,acktr
9,10,60.4824503076923,acktr
10,11,58.724413882352955,acktr
11,12,58.724413882352955,acktr
12,13,59.01213755555556,acktr
13,14,59.7490140952381,acktr
14,15,59.7490140952381,acktr
15,16,60.32915908,acktr
16,17,60.32915908,acktr
17,18,60.439559807692305,acktr
18,19,60.82237534482759,acktr
19,20,60.82237534482759,acktr
20,21,61.29665109090909,acktr
21,22,61.29665109090909,acktr
22,23,61.43853864705883,acktr
23,24,61.61962827027027,acktr
24,25,61.61962827027027,acktr
25,26,61.81056695121952,acktr
26,27,61.81056695121952,acktr
27,28,61.86521080952382,acktr
28,29,61.89160100000001,acktr
29,30,61.89160100000001,acktr
30,31,62.00264910204083,acktr
31,32,62.00264910204083,acktr
32,33,62.035813784313746,acktr
33,34,62.077847396226424,acktr
34,35,62.077847396226424,acktr
35,36,62.20081050877192,acktr
36,37,61.47369168965518,acktr
37,38,61.52456466666667,acktr
38,39,60.98776746031746,acktr
39,40,61.01926871875,acktr
40,41,61.066705276923074,acktr
41,42,61.15735931343285,acktr
42,43,61.22249972463768,acktr
43,44,61.289565183098595,acktr
44,45,61.34968831944444,acktr
45,46,61.368123808219174,acktr
46,47,60.87107252631578,acktr
47,48,60.91970348051946,acktr
48,49,61.0228349125,acktr
49,50,61.045996654320994,acktr
50,51,61.045996654320994,acktr
51,52,61.137374428571434,acktr
52,53,61.17234194117647,acktr
53,54,61.281519625,acktr
54,55,60.85560796666667,acktr
55,56,60.85560796666667,acktr
56,57,60.92738609782608,acktr
57,58,60.989698648936155,acktr
58,59,61.04521181250001,acktr
59,60,61.11487184693878,acktr
60,61,61.11487184693878,acktr
61,62,61.201901899999996,acktr
62,63,61.19888980999999,acktr
63,64,61.16265416,acktr
64,65,61.60749935,acktr
65,66,61.58232888000001,acktr
66,67,61.58740272000001,acktr
67,68,61.57937292,acktr
68,69,61.55220742,acktr
69,70,61.96085409000001,acktr
70,71,61.94575598,acktr
71,72,61.94575598,acktr
72,73,61.95277405,acktr
