,training_iteration,ep_rew,algo
0,1,63.94570908333333,baseline
1,2,72.89340360000001,baseline
2,3,79.61402946428572,baseline
3,4,82.37872091891893,baseline
4,5,85.29279720000001,baseline
5,6,89.21248984313725,baseline
6,7,96.08153875,baseline
7,8,66.07362293939396,baseline
8,9,66.34508794,baseline
9,10,64.44927243000001,baseline
10,11,65.08120480000001,baseline
11,12,67.66691205000001,baseline
12,13,69.43179001,baseline
13,14,71.17372404999998,baseline
14,15,68.60013668999999,baseline
15,16,70.58689058999998,baseline
16,17,77.86797587999997,baseline
17,18,84.38285012,baseline
18,19,91.98127843999997,baseline
19,20,99.90600999,baseline
20,21,105.98859042,baseline
21,22,112.81161742000002,baseline
22,23,117.19383165,baseline
23,24,119.79389786999998,baseline
24,25,124.83219108,baseline
25,26,127.11908938,baseline
26,27,127.26465702000002,baseline
0,1,63.85316150000001,baseline
1,2,32.24645011999999,baseline
2,3,26.91074055555556,baseline
3,4,18.23679114,baseline
4,5,16.301446589999998,baseline
5,6,16.35275225,baseline
6,7,21.36155781,baseline
7,8,28.04820016999999,baseline
8,9,34.993484050000006,baseline
9,10,40.85732632,baseline
10,11,48.58477346999999,baseline
11,12,54.19071678999999,baseline
12,13,60.25605888,baseline
13,14,66.21523354,baseline
14,15,71.41163435000001,baseline
15,16,69.29648674,baseline
16,17,67.09881219,baseline
17,18,64.40777295,baseline
18,19,62.99247435,baseline
19,20,65.51290651999999,baseline
20,21,67.27354958,baseline
21,22,67.28388536,baseline
22,23,67.63920526,baseline
23,24,68.35187115000001,baseline
24,25,68.76027006999999,baseline
25,26,74.21118809999999,baseline
26,27,79.57384262000002,baseline
27,28,79.94168823999998,baseline
28,29,82.39408142,baseline
29,30,92.32720809,baseline
30,31,97.05970943,baseline
0,1,,baseline
1,2,,baseline
2,3,63.87799575,baseline
3,4,63.87799575,baseline
4,5,63.87799575,baseline
5,6,66.353628375,baseline
6,7,66.353628375,baseline
7,8,67.46614508333333,baseline
8,9,67.46614508333333,baseline
9,10,67.46614508333333,baseline
10,11,68.23188553846154,baseline
11,12,68.23188553846154,baseline
12,13,68.23188553846154,baseline
13,14,68.23188553846154,baseline
14,15,68.23188553846154,baseline
15,16,68.23188553846154,baseline
16,17,68.23188553846154,baseline
17,18,68.23188553846154,baseline
18,19,68.23188553846154,baseline
19,20,68.23188553846154,baseline
20,21,68.23188553846154,baseline
21,22,89.651324,baseline
22,23,124.4761999375,baseline
23,24,124.4761999375,baseline
24,25,124.4761999375,baseline
25,26,124.4761999375,baseline
26,27,124.4761999375,baseline
27,28,124.4761999375,baseline
28,29,124.4761999375,baseline
29,30,124.4761999375,baseline
30,31,147.1125587647059,baseline
31,32,147.1125587647059,baseline
32,33,147.1125587647059,baseline
33,34,151.7200293684211,baseline
34,35,166.95079738095242,baseline
35,36,166.95079738095242,baseline
36,37,155.55261179166666,baseline
37,38,152.36249152,baseline
38,39,152.36249152,baseline
39,40,141.87868555172412,baseline
40,41,141.87868555172412,baseline
41,42,141.87868555172412,baseline
42,43,133.64803436363636,baseline
43,44,133.64803436363636,baseline
44,45,133.64803436363636,baseline
45,46,127.34199643243244,baseline
46,47,127.34199643243244,baseline
47,48,127.34199643243244,baseline
48,49,123.88850125,baseline
49,50,122.913054902439,baseline
50,51,122.913054902439,baseline
51,52,122.913054902439,baseline
52,53,120.07440588888888,baseline
53,54,120.07440588888888,baseline
54,55,120.07440588888888,baseline
55,56,116.30507838775509,baseline
56,57,116.30507838775509,baseline
57,58,116.30507838775509,baseline
58,59,116.30507838775509,baseline
59,60,116.30507838775509,baseline
60,61,116.30507838775509,baseline
61,62,116.30507838775509,baseline
62,63,121.55154766037735,baseline
63,64,121.55154766037735,baseline
64,65,121.55154766037735,baseline
65,66,121.55154766037735,baseline
66,67,121.536302462963,baseline
67,68,121.62172756363636,baseline
68,69,122.11944589285713,baseline
69,70,122.11944589285713,baseline
70,71,122.11944589285713,baseline
71,72,124.13279972413794,baseline
72,73,123.9775815,baseline
73,74,123.9775815,baseline
74,75,122.5187009032258,baseline
75,76,121.125965046875,baseline
76,77,121.125965046875,baseline
77,78,118.94343479104477,baseline
78,79,118.32500838235292,baseline
79,80,118.32500838235292,baseline
80,81,116.57863646478873,baseline
81,82,116.00478443055556,baseline
82,83,116.00478443055556,baseline
83,84,114.38184928,baseline
84,85,113.86059682894738,baseline
85,86,113.86059682894738,baseline
86,87,112.95891560256409,baseline
87,88,112.2477440875,baseline
88,89,112.2477440875,baseline
89,90,111.5069954634146,baseline
90,91,110.75525402380951,baseline
91,92,110.75525402380951,baseline
92,93,109.90215129069765,baseline
93,94,109.04648367045456,baseline
94,95,109.04648367045456,baseline
95,96,107.36645938043478,baseline
96,97,107.36645938043478,baseline
97,98,106.986180344086,baseline
98,99,105.84335607291666,baseline
99,100,105.84335607291666,baseline
100,101,105.10834391836737,baseline
101,102,104.47042838,baseline
102,103,104.47042838,baseline
103,104,104.59978245,baseline
104,105,104.66564125,baseline
105,106,104.68412677000002,baseline
106,107,104.70222751,baseline
107,108,104.70222751,baseline
108,109,104.75296027,baseline
109,110,104.83916752,baseline
110,111,104.83916752,baseline
111,112,104.83916752,baseline
112,113,105.08532199,baseline
113,114,99.9575119,baseline
114,115,97.37910628000002,baseline
115,116,97.37910628000002,baseline
116,117,93.19298971000002,baseline
117,118,93.34778555,baseline
118,119,91.3933003,baseline
119,120,89.01155160000002,baseline
120,121,86.63290591,baseline
121,122,87.91851471,baseline
122,123,87.89891409999998,baseline
123,124,87.92870719000003,baseline
124,125,87.94312434000003,baseline
125,126,88.02771021000002,baseline
126,127,88.11237284,baseline
127,128,88.11237284,baseline
128,129,88.51163080999999,baseline
129,130,88.76937326,baseline
130,131,88.99287082999999,baseline
131,132,89.40521555000002,baseline
132,133,89.40521555000002,baseline
133,134,89.93033369000004,baseline
134,135,89.93033369000004,baseline
135,136,90.12942189000003,baseline
136,137,90.36834028000004,baseline
137,138,90.53118387,baseline
138,139,90.76714241000002,baseline
139,140,90.98599126,baseline
140,141,91.28060581,baseline
141,142,91.28060581,baseline
142,143,91.66443864,baseline
143,144,92.2608693,baseline
144,145,92.88563702000003,baseline
145,146,92.88563702000003,baseline
146,147,93.16803376,baseline
147,148,92.53511852,baseline
148,149,91.64010220999998,baseline
149,150,91.64010220999998,baseline
150,151,89.59339473999998,baseline
151,152,89.08106766,baseline
152,153,89.08106766,baseline
153,154,88.49168241000002,baseline
154,155,87.20702462,baseline
155,156,86.43808682999997,baseline
156,157,86.1732964,baseline
157,158,86.1732964,baseline
158,159,86.45663988000004,baseline
159,160,86.45663988000004,baseline
160,161,86.62016099,baseline
161,162,86.97991591999998,baseline
162,163,87.11688445,baseline
163,164,87.19990580999998,baseline
164,165,87.27579166999998,baseline
165,166,87.53011473999999,baseline
166,167,87.53011473999999,baseline
167,168,87.68928660999998,baseline
168,169,87.97598185999998,baseline
169,170,88.14302566,baseline
170,171,88.14302566,baseline
171,172,88.35263216,baseline
172,173,88.66374084,baseline
173,174,88.81679051,baseline
174,175,88.88696226000002,baseline
175,176,89.05525304000004,baseline
176,177,89.38796191000002,baseline
177,178,89.38796191000002,baseline
178,179,89.61821169000002,baseline
179,180,90.05415232000001,baseline
180,181,90.24173371,baseline
181,182,90.24173371,baseline
182,183,90.61657012000002,baseline
183,184,90.90150225,baseline
184,185,91.60881736000002,baseline
185,186,91.60881736000002,baseline
186,187,91.86712791,baseline
187,188,92.15395795,baseline
188,189,92.81559942,baseline
189,190,92.81559942,baseline
190,191,92.81559942,baseline
191,192,93.26877174,baseline
192,193,93.26877174,baseline
