,training_iteration,ep_rew,algo
0,1,63.62327841666666,ppo
1,2,63.87029872916668,ppo
2,3,64.10465800000001,ppo
3,4,64.29814366000001,ppo
4,5,64.66708786999999,ppo
5,6,65.20404964000001,ppo
6,7,65.91419614,ppo
7,8,66.77950888000001,ppo
8,9,68.17116954,ppo
9,10,74.13663722,ppo
10,11,79.23950185,ppo
11,12,93.95077359,ppo
12,13,106.60823406,ppo
13,14,122.07434342999998,ppo
14,15,135.55424409999998,ppo
15,16,145.85521564,ppo
0,1,61.92799568,ppo
1,2,62.00020316,ppo
2,3,61.987007461538475,ppo
3,4,62.44805648000001,ppo
4,5,62.913727729999984,ppo
5,6,62.89633782,ppo
6,7,63.50792882999999,ppo
7,8,63.58923532,ppo
8,9,63.58812286999999,ppo
9,10,64.22111014,ppo
10,11,64.16686911999999,ppo
11,12,64.14454148,ppo
12,13,64.26535461,ppo
13,14,64.24834832,ppo
14,15,64.33273571,ppo
15,16,64.30244275,ppo
0,1,,ppo
1,2,63.04991849999999,ppo
2,3,64.31930625,ppo
3,4,63.86158766666668,ppo
4,5,63.84982913333334,ppo
5,6,63.966407999999994,ppo
6,7,64.29519029999999,ppo
7,8,64.54363308333333,ppo
8,9,64.58798782142857,ppo
9,10,64.55026517241379,ppo
10,11,64.61812365624999,ppo
11,12,64.7478521111111,ppo
12,13,64.97781525,ppo
13,14,65.02644467441861,ppo
14,15,65.09475520454545,ppo
15,16,65.13158533333333,ppo
16,17,65.24796159615386,ppo
17,18,65.37629276785715,ppo
18,19,65.41569782456139,ppo
19,20,65.47253125,ppo
20,21,65.649664984375,ppo
21,22,65.90986420588234,ppo
22,23,65.90986420588234,ppo
23,24,66.33589956944444,ppo
24,25,66.67866727631578,ppo
25,26,66.7421131948052,ppo
26,27,67.02123929999999,ppo
27,28,67.3471243373494,ppo
28,29,67.3471243373494,ppo
29,30,67.51989630588236,ppo
30,31,67.58919761627908,ppo
31,32,70.30646887356322,ppo
32,33,70.30646887356322,ppo
33,34,73.15412066292134,ppo
34,35,75.72399169565217,ppo
35,36,75.72399169565217,ppo
36,37,78.26045270967742,ppo
37,38,78.26045270967742,ppo
38,39,78.20105758510637,ppo
39,40,78.20105758510637,ppo
40,41,84.24127607216494,ppo
41,42,84.17168651020407,ppo
42,43,84.17168651020407,ppo
43,44,86.09250745999998,ppo
44,45,86.09250745999998,ppo
45,46,90.09024762,ppo
46,47,90.09024762,ppo
47,48,90.09024762,ppo
48,49,93.76387864999998,ppo
49,50,93.76387864999998,ppo
50,51,97.48220155,ppo
51,52,97.48220155,ppo
52,53,100.55160322,ppo
53,54,103.03529382,ppo
54,55,103.03529382,ppo
55,56,105.29616688999998,ppo
56,57,106.30208140999996,ppo
57,58,107.40001021999998,ppo
58,59,109.13671342,ppo
59,60,110.40689132999998,ppo
60,61,111.25051399,ppo
61,62,112.09104601,ppo
62,63,112.80200511,ppo
63,64,113.70317914000002,ppo
64,65,114.39185284,ppo
65,66,115.14936067,ppo
66,67,115.83498045999998,ppo
67,68,116.524814,ppo
68,69,117.14581885999998,ppo
69,70,117.65661635,ppo
70,71,118.27280877,ppo
71,72,119.02555021,ppo
72,73,119.75286655000002,ppo
73,74,120.47715698999998,ppo
74,75,121.11147705000002,ppo
75,76,121.88636825000002,ppo
76,77,122.96634944,ppo
77,78,123.40484449,ppo
78,79,124.32095122,ppo
79,80,125.29589332000002,ppo
80,81,126.08841486,ppo
81,82,126.58966278,ppo
82,83,128.01773826000002,ppo
83,84,128.01773826000002,ppo
84,85,129.04328848,ppo
85,86,130.41161685999998,ppo
86,87,131.42609521,ppo
87,88,132.00697680000002,ppo
88,89,133.48574098,ppo
89,90,133.48574098,ppo
90,91,134.55919454,ppo
91,92,135.77870373999997,ppo
92,93,136.42571626,ppo
93,94,136.98757593,ppo
94,95,138.30573063999998,ppo
95,96,139.52983403,ppo
96,97,140.04393225,ppo
97,98,140.82088007000004,ppo
98,99,137.66152699,ppo
99,100,138.20798519000002,ppo
100,101,136.75098632,ppo
101,102,134.779991,ppo
102,103,135.35276191,ppo
103,104,131.43283562999997,ppo
104,105,131.99145220999998,ppo
105,106,131.99145220999998,ppo
106,107,130.37320173999998,ppo
107,108,130.37320173999998,ppo
108,109,128.13690143,ppo
109,110,127.16361811,ppo
110,111,126.35551925,ppo
111,112,124.81971334,ppo
112,113,124.07401849,ppo
113,114,123.91378107,ppo
114,115,123.36992722,ppo
115,116,123.36992722,ppo
116,117,123.13179670999996,ppo
117,118,122.32835560999996,ppo
118,119,122.27006935999998,ppo
119,120,122.2924454,ppo
120,121,122.77583532,ppo
121,122,122.77583532,ppo
122,123,123.86325052,ppo
0,1,63.84553295833333,ppo
1,2,63.96927441666667,ppo
2,3,63.92007930263157,ppo
3,4,64.02977914000002,ppo
4,5,64.10968506,ppo
5,6,64.18733143000001,ppo
6,7,64.34073955999999,ppo
7,8,64.45326497,ppo
8,9,64.56200965,ppo
9,10,64.78570341,ppo
10,11,64.83725362999999,ppo
11,12,64.92153707000001,ppo
12,13,64.84356453000001,ppo
13,14,64.76977334,ppo
14,15,64.99522501999999,ppo
15,16,65.10882233,ppo
0,1,64.08053641666667,ppo
1,2,64.146517375,ppo
2,3,64.35836886111112,ppo
3,4,64.43301739583335,ppo
4,5,64.77090943333334,ppo
5,6,65.04183905405405,ppo
6,7,65.4971321764706,ppo
7,8,66.10338075257732,ppo
8,9,67.0111674,ppo
9,10,67.87506565000001,ppo
10,11,73.43869260999998,ppo
11,12,76.41847863999998,ppo
12,13,76.85780316,ppo
13,14,77.47322849,ppo
14,15,77.94810176,ppo
15,16,78.37704745,ppo
16,17,80.13676396,ppo
17,18,80.30717663,ppo
18,19,81.0964345,ppo
19,20,75.99940778000001,ppo
20,21,74.88818945999998,ppo
21,22,79.70453443999997,ppo
22,23,80.07352470999999,ppo
23,24,81.42327139999998,ppo
24,25,85.38652260999999,ppo
25,26,90.20866559,ppo
26,27,95.2665882,ppo
27,28,100.68155608,ppo
28,29,104.36850106,ppo
29,30,107.69044060000002,ppo
30,31,113.79943946999998,ppo
0,1,,ppo
1,2,65.312763,ppo
2,3,49.04296075,ppo
3,4,34.36943069565218,ppo
4,5,29.684734303030304,ppo
5,6,30.386729828571426,ppo
6,7,32.29760963636363,ppo
7,8,32.29760963636363,ppo
8,9,35.0489974375,ppo
9,10,37.766710961538465,ppo
10,11,38.36825101886792,ppo
11,12,38.91016798148148,ppo
12,13,41.81736791228071,ppo
13,14,43.14341228333334,ppo
14,15,43.57748195081968,ppo
15,16,48.19131634920636,ppo
16,17,48.817349261538475,ppo
17,18,48.61732114925375,ppo
18,19,48.846632279411786,ppo
19,20,49.44973790000002,ppo
20,21,54.22805525,ppo
21,22,54.22805525,ppo
22,23,54.22805525,ppo
23,24,54.22805525,ppo
24,25,66.86953336842106,ppo
25,26,66.86953336842106,ppo
26,27,66.86953336842106,ppo
27,28,66.86953336842106,ppo
28,29,74.18471155,ppo
29,30,74.18471155,ppo
30,31,74.18471155,ppo
31,32,75.21799223456789,ppo
32,33,79.86789361904759,ppo
33,34,79.86789361904759,ppo
34,35,81.1581004597701,ppo
35,36,81.71118218181819,ppo
36,37,82.03906372826089,ppo
37,38,82.03906372826089,ppo
38,39,83.072839625,ppo
39,40,82.99607323711341,ppo
40,41,82.79517221,ppo
41,42,83.25928486000002,ppo
42,43,84.07608476,ppo
43,44,84.50159771999998,ppo
44,45,84.50159771999998,ppo
45,46,86.61932596999998,ppo
46,47,89.59247823,ppo
47,48,89.59247823,ppo
48,49,90.8662638,ppo
49,50,95.40016759,ppo
50,51,95.40016759,ppo
51,52,99.36446707,ppo
52,53,99.36446707,ppo
53,54,102.10716694000004,ppo
54,55,103.03279642,ppo
55,56,103.03279642,ppo
56,57,105.71618222,ppo
57,58,105.71618222,ppo
58,59,111.00529189000002,ppo
59,60,112.00094089000002,ppo
60,61,115.00911134000002,ppo
61,62,115.97830995,ppo
62,63,117.70640791,ppo
63,64,118.14889461,ppo
64,65,118.65014732000002,ppo
65,66,118.65014732000002,ppo
66,67,120.49077345000002,ppo
67,68,125.20082807,ppo
68,69,125.20082807,ppo
69,70,128.24695179000003,ppo
70,71,128.73174482000002,ppo
71,72,129.25948569000002,ppo
72,73,131.13190677,ppo
73,74,131.13190677,ppo
74,75,131.73896133999997,ppo
75,76,134.28322294999995,ppo
76,77,134.90456451999998,ppo
77,78,135.26893755999998,ppo
78,79,135.79149833999998,ppo
79,80,136.84837538999997,ppo
80,81,137.83239641999998,ppo
81,82,135.75805128,ppo
82,83,138.30766880000002,ppo
83,84,138.30766880000002,ppo
84,85,139.64463404,ppo
85,86,141.04956008000005,ppo
86,87,141.04956008000005,ppo
87,88,137.34899954,ppo
88,89,137.34899954,ppo
89,90,137.34899954,ppo
90,91,131.55728577,ppo
91,92,131.55728577,ppo
92,93,130.70358443000003,ppo
93,94,129.76455603,ppo
94,95,129.76455603,ppo
95,96,128.34032469000002,ppo
96,97,128.85437088999998,ppo
97,98,128.85437088999998,ppo
98,99,129.88232537999997,ppo
99,100,130.24271039999996,ppo
100,101,130.49032680999997,ppo
101,102,131.58070533999998,ppo
102,103,131.58070533999998,ppo
103,104,132.57183612999998,ppo
104,105,133.30511649,ppo
105,106,133.66581702999997,ppo
106,107,134.28799743,ppo
107,108,135.91779353,ppo
108,109,136.59258426,ppo
109,110,137.51801645999998,ppo
110,111,137.51801645999998,ppo
111,112,137.79085822,ppo
112,113,137.64129892,ppo
113,114,137.64129892,ppo
114,115,136.38935555,ppo
115,116,136.38935555,ppo
116,117,135.81036408000003,ppo
117,118,136.29365916,ppo
118,119,136.29365916,ppo
119,120,136.99329282,ppo
120,121,137.2622817,ppo
121,122,137.81648154,ppo
122,123,137.39955202,ppo
0,1,63.75235775,ppo
1,2,63.67662183333334,ppo
2,3,63.5896375625,ppo
3,4,63.53550229166668,ppo
4,5,62.228189125,ppo
5,6,62.36222554054054,ppo
6,7,62.5851942,ppo
7,8,61.87168602000001,ppo
8,9,62.1488289137931,ppo
9,10,62.2474013125,ppo
10,11,61.71759805633803,ppo
11,12,61.368466088607605,ppo
12,13,61.512040823529404,ppo
13,14,61.68307864130435,ppo
14,15,61.76761927835052,ppo
15,16,61.40512033,ppo
16,17,61.39915543,ppo
17,18,61.46648288,ppo
18,19,61.51966265,ppo
19,20,61.94829504000001,ppo
20,21,61.93931431,ppo
21,22,61.94541033999999,ppo
22,23,62.31875848000001,ppo
23,24,61.89809961,ppo
24,25,61.51560649,ppo
25,26,61.53383867,ppo
26,27,61.96150048000001,ppo
27,28,62.05306564999999,ppo
28,29,61.99776082,ppo
29,30,62.00671338,ppo
30,31,62.49986566,ppo
31,32,62.50095145,ppo
32,33,62.46069058,ppo
33,34,62.47486475,ppo
34,35,62.50303891,ppo
35,36,62.48297301,ppo
36,37,62.51615635,ppo
37,38,62.51108965000001,ppo
38,39,63.0163034,ppo
39,40,63.38556222000001,ppo
40,41,63.38544283,ppo
41,42,63.86558356000001,ppo
42,43,63.882595499999994,ppo
43,44,63.93388319,ppo
44,45,63.56965519000001,ppo
45,46,63.46691217000001,ppo
46,47,63.45375701000001,ppo
47,48,63.4657933,ppo
48,49,62.99887716,ppo
49,50,63.002987399999995,ppo
50,51,62.97571009,ppo
51,52,62.09722216000001,ppo
52,53,62.12529265999999,ppo
53,54,61.60892038000001,ppo
54,55,61.63810703,ppo
55,56,61.64032045000002,ppo
56,57,61.59084588,ppo
57,58,61.57886676,ppo
58,59,61.51833482999999,ppo
59,60,61.98011583999999,ppo
60,61,62.08187083000001,ppo
61,62,62.15243081,ppo
0,1,,ppo
1,2,63.676985,ppo
2,3,64.295001875,ppo
3,4,64.42366066666666,ppo
4,5,64.42366066666666,ppo
5,6,64.853796375,ppo
6,7,65.78461485,ppo
7,8,66.30842312499999,ppo
8,9,66.30842312499999,ppo
9,10,66.95590921428571,ppo
10,11,67.62362415625,ppo
11,12,67.94416980555555,ppo
12,13,67.94416980555555,ppo
13,14,68.434514375,ppo
14,15,69.01709261363636,ppo
15,16,69.01709261363636,ppo
16,17,69.69845058333333,ppo
17,18,69.74754796,ppo
18,19,69.74754796,ppo
19,20,69.86641755769232,ppo
20,21,69.86641755769232,ppo
21,22,69.86641755769232,ppo
22,23,69.86641755769232,ppo
23,24,69.86641755769232,ppo
24,25,69.86641755769232,ppo
25,26,86.1127464074074,ppo
26,27,86.1127464074074,ppo
27,28,86.1127464074074,ppo
28,29,93.80155625454546,ppo
29,30,101.21364214285713,ppo
30,31,100.28716524137931,ppo
31,32,100.28716524137931,ppo
32,33,108.54977475,ppo
33,34,108.54977475,ppo
34,35,108.54977475,ppo
35,36,108.54977475,ppo
36,37,112.34153622950821,ppo
37,38,116.13949337096773,ppo
38,39,119.49381806349207,ppo
39,40,122.877865421875,ppo
40,41,122.877865421875,ppo
41,42,122.877865421875,ppo
42,43,125.6576554,ppo
43,44,128.32844027272725,ppo
44,45,130.88532913432834,ppo
45,46,133.52138132352937,ppo
46,47,133.52138132352937,ppo
47,48,137.08138551428567,ppo
48,49,137.08138551428567,ppo
49,50,139.90423587499998,ppo
50,51,139.90423587499998,ppo
51,52,139.90423587499998,ppo
52,53,139.90423587499998,ppo
53,54,143.7083620675676,ppo
54,55,143.7083620675676,ppo
55,56,147.83800939473687,ppo
56,57,147.83800939473687,ppo
57,58,147.83800939473687,ppo
58,59,147.83800939473687,ppo
59,60,152.26587534615388,ppo
60,61,155.147135675,ppo
61,62,155.147135675,ppo
62,63,155.147135675,ppo
63,64,157.1436733012048,ppo
64,65,157.3604954642857,ppo
65,66,157.3604954642857,ppo
66,67,157.3604954642857,ppo
67,68,158.85009584090906,ppo
68,69,158.85009584090906,ppo
69,70,158.85009584090906,ppo
70,71,158.85009584090906,ppo
71,72,160.32973313333332,ppo
72,73,161.68593306521737,ppo
73,74,161.68593306521737,ppo
74,75,161.68593306521737,ppo
75,76,163.46537015625,ppo
76,77,163.46537015625,ppo
77,78,163.46537015625,ppo
78,79,163.46537015625,ppo
79,80,164.59853471000002,ppo
80,81,164.59853471000002,ppo
81,82,164.59853471000002,ppo
82,83,168.67556808999996,ppo
83,84,168.67556808999996,ppo
84,85,168.67556808999996,ppo
85,86,170.78755350000003,ppo
86,87,173.01818882,ppo
87,88,173.01818882,ppo
88,89,174.77512953000004,ppo
89,90,176.78211947000003,ppo
90,91,176.78211947000003,ppo
91,92,178.18958581000004,ppo
92,93,180.13883532,ppo
93,94,180.13883532,ppo
94,95,182.50477881000003,ppo
95,96,183.24394493,ppo
96,97,183.24394493,ppo
97,98,184.83141071000003,ppo
98,99,186.6030349,ppo
99,100,186.6030349,ppo
100,101,189.35456804,ppo
101,102,189.35456804,ppo
102,103,189.90807657,ppo
103,104,191.98975546000003,ppo
104,105,191.98975546000003,ppo
105,106,193.71077336000005,ppo
106,107,194.49474964,ppo
107,108,195.03414449,ppo
108,109,196.69420229,ppo
109,110,196.69420229,ppo
110,111,198.48325405999995,ppo
111,112,199.22453204,ppo
112,113,199.71772343,ppo
113,114,200.78071487,ppo
114,115,201.42609528,ppo
115,116,202.56988308,ppo
116,117,203.22199251,ppo
117,118,200.23506101000004,ppo
118,119,192.90915871,ppo
119,120,189.18897885,ppo
120,121,190.30890327,ppo
121,122,188.25815497,ppo
122,123,186.11306718000003,ppo
0,1,63.82830083333334,ppo
1,2,61.79870268000001,ppo
2,3,62.43494408108109,ppo
3,4,61.96766394,ppo
4,5,62.38050790625,ppo
5,6,62.66277110389611,ppo
6,7,62.93158011111112,ppo
7,8,63.04300247000001,ppo
8,9,63.06210316,ppo
9,10,63.11441324,ppo
10,11,63.14556529000001,ppo
11,12,63.63140349000001,ppo
12,13,63.61601215,ppo
13,14,63.56955626,ppo
14,15,63.53699230000001,ppo
15,16,63.584066,ppo
16,17,64.06997514000001,ppo
17,18,64.06800025,ppo
