,training_iteration,ep_rew,algo
0,1,0.0,trpo
1,2,63.19768710661069,trpo
2,3,65.04462199612453,trpo
3,4,65.01027675673423,trpo
4,5,64.92451418006361,trpo
5,6,64.67712244981388,trpo
6,7,64.52719097399095,trpo
7,8,64.71547537431596,trpo
8,9,64.73935398051194,trpo
9,10,65.10812362687167,trpo
10,11,65.08765876619398,trpo
11,12,64.91247689786074,trpo
12,13,64.86957270496549,trpo
13,14,64.84122469631238,trpo
14,15,64.68730591393782,trpo
15,16,64.69260970288954,trpo
16,17,64.55273405582695,trpo
17,18,64.54935201805948,trpo
18,19,64.5262849825275,trpo
19,20,64.69597929563065,trpo
20,21,64.71923519629047,trpo
21,22,64.86492436934577,trpo
22,23,64.87511908600477,trpo
23,24,64.9074853340469,trpo
24,25,64.8732927079968,trpo
25,26,64.84308070842134,trpo
26,27,64.9276945349703,trpo
27,28,64.9627357675246,trpo
28,29,65.0809028708156,trpo
29,30,65.10347557569051,trpo
30,31,65.17140356645966,trpo
31,32,65.26475696530059,trpo
32,33,65.33984881442568,trpo
33,34,65.43295776085651,trpo
34,35,65.56658146132179,trpo
35,36,65.58192616005283,trpo
36,37,65.67273969628242,trpo
37,38,65.83662115263789,trpo
38,39,65.88715770417429,trpo
39,40,66.05587683560755,trpo
40,41,66.27774314439708,trpo
41,42,66.36853697997813,trpo
42,43,66.71891362073471,trpo
43,44,66.95580267921007,trpo
44,45,67.2709383099403,trpo
45,46,67.38968709536161,trpo
46,47,67.66203712217074,trpo
47,48,67.8438506603518,trpo
48,49,67.9650734606804,trpo
49,50,68.8003227703756,trpo
50,51,69.14369630008255,trpo
51,52,69.14369630008255,trpo
52,53,72.0054080880602,trpo
53,54,72.0054080880602,trpo
54,55,75.23138242752802,trpo
55,56,75.23138242752802,trpo
56,57,78.75964509793532,trpo
57,58,78.75964509793532,trpo
58,59,82.08899305283641,trpo
59,60,84.80250065048612,trpo
60,61,84.80250065048612,trpo
61,62,86.82268557330606,trpo
0,1,0.0,trpo
1,2,64.84448076259413,trpo
2,3,64.62420782911796,trpo
3,4,64.54041899622807,trpo
4,5,64.2961134109747,trpo
5,6,64.33753824185399,trpo
6,7,64.68019687116761,trpo
7,8,64.61985806037188,trpo
8,9,64.81564112524015,trpo
9,10,64.7104366826656,trpo
10,11,64.72298274861464,trpo
11,12,64.84296529761663,trpo
12,13,64.94344420475876,trpo
13,14,65.13438559654561,trpo
14,15,65.28718669195784,trpo
15,16,65.54421608495457,trpo
16,17,65.82336063323332,trpo
17,18,66.04464270710594,trpo
18,19,66.46566877764937,trpo
19,20,66.7630469861991,trpo
20,21,67.0604013227299,trpo
21,22,67.39807373518424,trpo
22,23,67.69049066311183,trpo
23,24,68.03581401917592,trpo
24,25,68.35083613636351,trpo
25,26,68.56255190806617,trpo
26,27,68.73167721731406,trpo
27,28,69.27689432459704,trpo
28,29,69.95815862216725,trpo
29,30,70.08725224007054,trpo
30,31,70.36040667733826,trpo
0,1,0.0,trpo
1,2,0.0,trpo
2,3,63.902840012152616,trpo
3,4,63.601857632934646,trpo
4,5,63.93802484401639,trpo
5,6,63.578276263244135,trpo
6,7,63.578276263244135,trpo
7,8,63.84421573274285,trpo
8,9,64.05413799071114,trpo
9,10,64.11814329418486,trpo
10,11,64.20384723311118,trpo
11,12,64.20384723311118,trpo
12,13,64.28181894100153,trpo
13,14,64.29408041323998,trpo
14,15,64.47781504006464,trpo
15,16,64.47781504006464,trpo
16,17,64.78166355623681,trpo
17,18,65.01540389823619,trpo
18,19,65.30267586814996,trpo
19,20,65.30267586814996,trpo
20,21,65.591466998789,trpo
21,22,65.73085242906475,trpo
22,23,66.00820101848645,trpo
23,24,66.00820101848645,trpo
24,25,66.30450952795465,trpo
25,26,66.464047162496,trpo
26,27,66.49624341069236,trpo
27,28,66.49624341069236,trpo
28,29,66.65083259643798,trpo
29,30,66.91957527458895,trpo
30,31,67.00294257889179,trpo
31,32,67.00294257889179,trpo
32,33,67.16341719708386,trpo
33,34,67.24585787562258,trpo
34,35,67.22565655416976,trpo
35,36,67.22565655416976,trpo
36,37,67.17299337878367,trpo
37,38,67.1568478152422,trpo
38,39,67.05804344959351,trpo
39,40,67.05804344959351,trpo
40,41,67.04989960675206,trpo
41,42,67.03249504867178,trpo
42,43,67.15751044111657,trpo
43,44,67.15751044111657,trpo
44,45,67.22336721370003,trpo
45,46,67.20213197143997,trpo
46,47,67.21949821994065,trpo
47,48,67.21949821994065,trpo
48,49,67.20524838583866,trpo
49,50,67.22964138164784,trpo
